;wl 0;wl 0.25;wl 0.5;wl 0.75;wl 1;wl 1.25;wl 1.5;wl 1.75;wl 2;wl 2.25;wl 2.5;wl 2.75;wl 3;wl 4;wl 5;wl 6;wl 7
pn0;None;None;None;None;None;None;0,419194;0,983302;1,1126;1,1432;1,1590;1,1683;1,174888;1,164308;None;None;None
pn1;None;None;None;None;None;None;0,909049;1,120787;1,192497;1,2124;1,2256;1,2360;1,244623;1,277562;1,271964;None;None
pn2;None;None;None;None;None;None;1,113086;1,251938;1,298798;1,3178;1,3305;1,3417;1,352626;1,400648;1,467572;1,568372;None
pn3;None;None;None;None;None;1,1013;1,3199;1,3809;1,405816;1,4163;1,4299;1,4461;1,466989;1,590286;1,752369;1,974896;2,082941
pn4;None;None;None;None;1,054898;1,3638;1,4438;1,4666;1,483064;1,4966;1,5223;1,5560;1,593735;1,783417;2,018074;2,355077;2,581802
pn5;None;None;None;0,9310;1,417144;1,4766;1,4944;1,5084;1,528793;1,5565;1,5963;1,6472;1,70524;1,973025;2,279189;2,687849;3,009547
pn6;None;None;0,0275;1,4056;1,47255;1,4910;1,5062;1,5283;1,563807;1,6049;1,6625;1,7286;1,800138;2,108851;2,489043;2,901345;3,338262
pn7;None;0,0310;1,3369;1,4563;1,478819;1,4950;1,5157;1,5458;1,591894;1,6454;1,7125;1,7870;1,866899;2,202101;2,599331;3,025241;3,545092
pn8;None;1,1697;1,4218;1,4599;1,475133;1,4912;1,5181;1,5567;1,61043;1,6726;1,7458;1,8249;1,908859;2,256926;2,687259;3,089853;3,64437
pn9;None;1,3537;1,4319;1,4504;1,464096;1,4853;1,5174;1,5594;1,620678;1,6863;1,7631;1,8444;1,931703;2,289107;2,708171;3,100548;3,65722
pn10;None;1,3501;1,4129;1,4304;1,445652;1,4664;1,4960;1,5375;1,596078;1,6579;1,7295;1,8090;1,893314;2,246033;2,624484;3,029796;3,540564
pn11;1,280354;1,3836;1,4062;1,4190;1,435945;1,4625;1,4957;1,5409;1,602021;1,6661;1,7402;1,8133;1,890183;2,22327;2,626965;2,993865;3,540564
pn12;1,290695;1,3508;1,3682;1,3825;1,39889;1,4227;1,4580;1,5022;1,56163;1,6219;1,6897;1,7610;1,834566;2,147267;2,54901;2,910077;3,445734
pn13;1,269756;1,3142;1,3219;1,3403;1,356509;1,3813;1,4158;1,4568;1,509212;1,5629;1,6243;1,6881;1,754511;2,035534;2,419676;2,80183;3,299811
pn14;1,193031;1,2385;1,2521;1,2634;1,277731;1,2977;1,3264;1,3597;1,406883;1,4495;1,4993;1,5516;1,604159;1,832446;2,149907;2,537421;3,000962
pn15;1,140391;1,2020;1,2179;1,2297;1,243437;1,2617;1,2846;1,3147;1,356079;1,3946;1,4375;1,4815;1,526491;1,722941;2,008125;2,384818;2,826285
pn16;1,096967;1,1693;1,1858;1,1983;1,212251;1,2305;1,2522;1,2764;1,306412;1,3346;1,3697;1,4080;1,44819;1,619239;1,862202;2,217919;2,620493
pn17;1,044606;1,1485;1,1634;1,1745;1,186183;1,2036;1,2257;1,2507;1,280486;1,3053;1,3339;1,3634;1,393842;1,529946;1,730077;2,051083;2,397351
pn18;0,999637;1,1123;1,1330;1,1445;1,153188;1,1653;1,1793;1,1954;1,217984;1,2379;1,2629;1,2890;1,316115;1,43416;1,577718;1,870433;2,166733
pn19;0,891179;1,0604;1,0938;1,1036;1,112245;1,1225;1,1343;1,1480;1,16735;1,1834;1,2042;1,2266;1,249044;1,348893;1,45749;1,677367;1,927101
pn20;0,777621;1,0037;1,0464;1,0597;1,067778;1,0765;1,0867;1,0986;1,11512;1,1281;1,1455;1,1643;1,183858;1,268359;1,357332;1,504437;1,706248
pn21;None;0,9344;0,9968;1,0116;1,01961;1,0273;1,0359;1,0456;1,059518;1,0692;1,0832;1,0984;1,114593;1,184295;1,260478;1,367023;1,512855
pn22;None;0,8444;0,9378;0,9585;0,966253;0,9731;0,9802;0,9875;0,99796;1,0038;1,0140;1,0252;1,037643;1,09436;1,155748;1,231807;1,33538
pn23;None;0,7334;0,8674;0,8950;0,904089;0,9095;0,9148;0,9202;0,928933;0,9322;0,9392;0,9474;0,956364;0,995655;1,040491;1,094572;1,166999
pn24;None;0,5777;0,7640;0,8138;0,826685;0,8325;0,8369;0,8409;0,84789;0,8495;0,8542;0,8594;0,864934;0,890809;0,920889;0,956476;1,003695
pn25;None;None;0,6529;0,7167;0,733011;0,7399;0,7435;0,7463;0,751786;0,7519;0,7547;0,7579;0,761798;0,778545;0,797214;0,818377;0,847116
pn26;None;None;0,5188;0,6022;0,625123;0,6329;0,6365;0,6388;0,64339;0,6424;0,6442;0,6459;0,648225;0,658305;0,668923;0,680128;0,692459
pn27;None;None;0,4127;0,5058;0,534954;0,5441;0,5484;0,5506;0,554662;0,5528;0,5537;0,5544;0,555435;0,560256;0,565362;0,570114;0,574916
pn28;None;None;0,2317;0,3459;0,379466;0,3898;0,3939;0,3957;0,39932;0,3970;0,3973;0,3975;0,397718;0,399124;0,400698;0,402107;0,405143
pn29;None;None;None;0,2143;0,247215;0,2555;0,2584;0,2598;0,263181;0,2606;0,2607;0,2607;0,260739;0,260882;0,261074;0,261254;0,263555
pn30;None;None;None;None;None;0,0837;0,1091;0,1180;0,124317;0,1227;0,1234;0,1240;0,124482;0,125495;0,125707;0,125899;0,146576
